# Berlekamp #322 deployment ε table (target 128-bit)

Two codim conjectures:
  - codim_opt = 2(D - w'_min - 1)  [Note 0114, distinct-extras case]
  - codim_worst = 2(c - 1)         [Note 0116, shared-extras worst case]
ε bits = codim · log2(|F|), poly factor ignored.

| field | F_b | n_log | ρ | D | c | T | w'_min | codim_opt | ε_opt | codim_w | ε_worst | verdict |
| KoalaBear-ext6 | 186 | 2^21 | 1/8 | 1835008 | 9 | 407779 | 367001 | 2936012 | 545898901 | 16 | 2975 | OK (2975b) (worst) |
| BabyBear | 31 | 2^10 | 1/2 | 512 | 3 | 341 | 255 | 512 | 15824 | 4 | 124 | FAIL (124b) (worst) |
| BabyBear | 31 | 2^10 | 1/2 | 512 | 4 | 255 | 204 | 614 | 18977 | 6 | 185 | OK (185b) (worst) |
| BabyBear | 31 | 2^10 | 1/2 | 512 | 6 | 170 | 146 | 730 | 22562 | 10 | 309 | OK (309b) (worst) |
| BabyBear | 31 | 2^10 | 1/2 | 512 | 9 | 113 | 102 | 818 | 25282 | 16 | 495 | OK (495b) (worst) |
| BabyBear | 31 | 2^10 | 1/4 | 768 | 3 | 511 | 383 | 768 | 23736 | 4 | 124 | FAIL (124b) (worst) |
| BabyBear | 31 | 2^10 | 1/4 | 768 | 4 | 383 | 307 | 920 | 28434 | 6 | 185 | OK (185b) (worst) |
| BabyBear | 31 | 2^10 | 1/4 | 768 | 6 | 255 | 219 | 1096 | 33874 | 10 | 309 | OK (309b) (worst) |
| BabyBear | 31 | 2^10 | 1/4 | 768 | 9 | 170 | 153 | 1228 | 37954 | 16 | 495 | OK (495b) (worst) |
| BabyBear | 31 | 2^10 | 1/8 | 896 | 3 | 597 | 447 | 896 | 27693 | 4 | 124 | FAIL (124b) (worst) |
| BabyBear | 31 | 2^10 | 1/8 | 896 | 4 | 447 | 358 | 1074 | 33194 | 6 | 185 | OK (185b) (worst) |
| BabyBear | 31 | 2^10 | 1/8 | 896 | 6 | 298 | 255 | 1280 | 39561 | 10 | 309 | OK (309b) (worst) |
| BabyBear | 31 | 2^10 | 1/8 | 896 | 9 | 199 | 179 | 1432 | 44259 | 16 | 495 | OK (495b) (worst) |
| BabyBear | 31 | 2^12 | 1/2 | 2048 | 3 | 1365 | 1023 | 2048 | 63297 | 4 | 124 | FAIL (124b) (worst) |
| BabyBear | 31 | 2^12 | 1/2 | 2048 | 4 | 1023 | 819 | 2456 | 75907 | 6 | 185 | OK (185b) (worst) |
| BabyBear | 31 | 2^12 | 1/2 | 2048 | 6 | 682 | 585 | 2924 | 90372 | 10 | 309 | OK (309b) (worst) |
| BabyBear | 31 | 2^12 | 1/2 | 2048 | 9 | 455 | 409 | 3276 | 101251 | 16 | 495 | OK (495b) (worst) |
| BabyBear | 31 | 2^12 | 1/4 | 3072 | 3 | 2047 | 1535 | 3072 | 94946 | 4 | 124 | FAIL (124b) (worst) |
| BabyBear | 31 | 2^12 | 1/4 | 3072 | 4 | 1535 | 1228 | 3686 | 113923 | 6 | 185 | OK (185b) (worst) |
| BabyBear | 31 | 2^12 | 1/4 | 3072 | 6 | 1023 | 877 | 4388 | 135619 | 10 | 309 | OK (309b) (worst) |
| BabyBear | 31 | 2^12 | 1/4 | 3072 | 9 | 682 | 614 | 4914 | 151876 | 16 | 495 | OK (495b) (worst) |
| BabyBear | 31 | 2^12 | 1/8 | 3584 | 3 | 2389 | 1791 | 3584 | 110770 | 4 | 124 | FAIL (124b) (worst) |
| BabyBear | 31 | 2^12 | 1/8 | 3584 | 4 | 1791 | 1433 | 4300 | 132900 | 6 | 185 | OK (185b) (worst) |
| BabyBear | 31 | 2^12 | 1/8 | 3584 | 6 | 1194 | 1023 | 5120 | 158243 | 10 | 309 | OK (309b) (worst) |
| BabyBear | 31 | 2^12 | 1/8 | 3584 | 9 | 796 | 716 | 5734 | 177220 | 16 | 495 | OK (495b) (worst) |
| BabyBear | 31 | 2^14 | 1/2 | 8192 | 3 | 5461 | 4095 | 8192 | 253189 | 4 | 124 | FAIL (124b) (worst) |
| BabyBear | 31 | 2^14 | 1/2 | 8192 | 4 | 4095 | 3276 | 9830 | 303815 | 6 | 185 | OK (185b) (worst) |
| BabyBear | 31 | 2^14 | 1/2 | 8192 | 6 | 2730 | 2340 | 11702 | 361672 | 10 | 309 | OK (309b) (worst) |
| BabyBear | 31 | 2^14 | 1/2 | 8192 | 9 | 1820 | 1638 | 13106 | 405066 | 16 | 495 | OK (495b) (worst) |
| BabyBear | 31 | 2^14 | 1/4 | 12288 | 3 | 8191 | 6143 | 12288 | 379784 | 4 | 124 | FAIL (124b) (worst) |
| BabyBear | 31 | 2^14 | 1/4 | 12288 | 4 | 6143 | 4915 | 14744 | 455691 | 6 | 185 | OK (185b) (worst) |
| BabyBear | 31 | 2^14 | 1/4 | 12288 | 6 | 4095 | 3510 | 17554 | 542540 | 10 | 309 | OK (309b) (worst) |
| BabyBear | 31 | 2^14 | 1/4 | 12288 | 9 | 2730 | 2457 | 19660 | 607629 | 16 | 495 | OK (495b) (worst) |
| BabyBear | 31 | 2^14 | 1/8 | 14336 | 3 | 9557 | 7167 | 14336 | 443081 | 4 | 124 | FAIL (124b) (worst) |
| BabyBear | 31 | 2^14 | 1/8 | 14336 | 4 | 7167 | 5734 | 17202 | 531660 | 6 | 185 | OK (185b) (worst) |
| BabyBear | 31 | 2^14 | 1/8 | 14336 | 6 | 4778 | 4095 | 20480 | 632973 | 10 | 309 | OK (309b) (worst) |
| BabyBear | 31 | 2^14 | 1/8 | 14336 | 9 | 3185 | 2867 | 22936 | 708880 | 16 | 495 | OK (495b) (worst) |
| BabyBear | 31 | 2^16 | 1/2 | 32768 | 3 | 21845 | 16383 | 32768 | 1012757 | 4 | 124 | FAIL (124b) (worst) |
| BabyBear | 31 | 2^16 | 1/2 | 32768 | 4 | 16383 | 13107 | 39320 | 1215259 | 6 | 185 | OK (185b) (worst) |
| BabyBear | 31 | 2^16 | 1/2 | 32768 | 6 | 10922 | 9362 | 46810 | 1446752 | 10 | 309 | OK (309b) (worst) |
| BabyBear | 31 | 2^16 | 1/2 | 32768 | 9 | 7281 | 6553 | 52428 | 1620386 | 16 | 495 | OK (495b) (worst) |
| BabyBear | 31 | 2^16 | 1/4 | 49152 | 3 | 32767 | 24575 | 49152 | 1519135 | 4 | 124 | FAIL (124b) (worst) |
| BabyBear | 31 | 2^16 | 1/4 | 49152 | 4 | 24575 | 19660 | 58982 | 1822950 | 6 | 185 | OK (185b) (worst) |
| BabyBear | 31 | 2^16 | 1/4 | 49152 | 6 | 16383 | 14043 | 70216 | 2170158 | 10 | 309 | OK (309b) (worst) |
| BabyBear | 31 | 2^16 | 1/4 | 49152 | 9 | 10922 | 9830 | 78642 | 2430580 | 16 | 495 | OK (495b) (worst) |
| BabyBear | 31 | 2^16 | 1/8 | 57344 | 3 | 38229 | 28671 | 57344 | 1772325 | 4 | 124 | FAIL (124b) (worst) |
| BabyBear | 31 | 2^16 | 1/8 | 57344 | 4 | 28671 | 22937 | 68812 | 2126765 | 6 | 185 | OK (185b) (worst) |
| BabyBear | 31 | 2^16 | 1/8 | 57344 | 6 | 19114 | 16383 | 81920 | 2531892 | 10 | 309 | OK (309b) (worst) |
| BabyBear | 31 | 2^16 | 1/8 | 57344 | 9 | 12743 | 11468 | 91750 | 2835707 | 16 | 495 | OK (495b) (worst) |
| BabyBear | 31 | 2^18 | 1/2 | 131072 | 3 | 87381 | 65535 | 131072 | 4051028 | 4 | 124 | FAIL (124b) (worst) |
| BabyBear | 31 | 2^18 | 1/2 | 131072 | 4 | 65535 | 52428 | 157286 | 4861221 | 6 | 185 | OK (185b) (worst) |
| BabyBear | 31 | 2^18 | 1/2 | 131072 | 6 | 43690 | 37449 | 187244 | 5787130 | 10 | 309 | OK (309b) (worst) |
| BabyBear | 31 | 2^18 | 1/2 | 131072 | 9 | 29127 | 26214 | 209714 | 6481608 | 16 | 495 | OK (495b) (worst) |
| BabyBear | 31 | 2^18 | 1/4 | 196608 | 3 | 131071 | 98303 | 196608 | 6076542 | 4 | 124 | FAIL (124b) (worst) |
| BabyBear | 31 | 2^18 | 1/4 | 196608 | 4 | 98303 | 78643 | 235928 | 7291801 | 6 | 185 | OK (185b) (worst) |
| BabyBear | 31 | 2^18 | 1/4 | 196608 | 6 | 65535 | 56173 | 280868 | 8680757 | 10 | 309 | OK (309b) (worst) |
| BabyBear | 31 | 2^18 | 1/4 | 196608 | 9 | 43690 | 39321 | 314572 | 9722442 | 16 | 495 | OK (495b) (worst) |
| BabyBear | 31 | 2^18 | 1/8 | 229376 | 3 | 152917 | 114687 | 229376 | 7089299 | 4 | 124 | FAIL (124b) (worst) |
| BabyBear | 31 | 2^18 | 1/8 | 229376 | 4 | 114687 | 91750 | 275250 | 8507122 | 6 | 185 | OK (185b) (worst) |
| BabyBear | 31 | 2^18 | 1/8 | 229376 | 6 | 76458 | 65535 | 327680 | 10127570 | 10 | 309 | OK (309b) (worst) |
| BabyBear | 31 | 2^18 | 1/8 | 229376 | 9 | 50972 | 45875 | 367000 | 11342829 | 16 | 495 | OK (495b) (worst) |
| BabyBear | 31 | 2^20 | 1/2 | 524288 | 3 | 349525 | 262143 | 524288 | 16204112 | 4 | 124 | FAIL (124b) (worst) |
| BabyBear | 31 | 2^20 | 1/2 | 524288 | 4 | 262143 | 209715 | 629144 | 19444885 | 6 | 185 | OK (185b) (worst) |
| BabyBear | 31 | 2^20 | 1/2 | 524288 | 6 | 174762 | 149796 | 748982 | 23148705 | 10 | 309 | OK (309b) (worst) |
| BabyBear | 31 | 2^20 | 1/2 | 524288 | 9 | 116508 | 104857 | 838860 | 25926554 | 16 | 495 | OK (495b) (worst) |
| BabyBear | 31 | 2^20 | 1/4 | 786432 | 3 | 524287 | 393215 | 786432 | 24306168 | 4 | 124 | FAIL (124b) (worst) |
| BabyBear | 31 | 2^20 | 1/4 | 786432 | 4 | 393215 | 314572 | 943718 | 29167389 | 6 | 185 | OK (185b) (worst) |
| BabyBear | 31 | 2^20 | 1/4 | 786432 | 6 | 262143 | 224694 | 1123474 | 34723088 | 10 | 309 | OK (309b) (worst) |
| BabyBear | 31 | 2^20 | 1/4 | 786432 | 9 | 174762 | 157286 | 1258290 | 38889831 | 16 | 495 | OK (495b) (worst) |
| BabyBear | 31 | 2^20 | 1/8 | 917504 | 3 | 611669 | 458751 | 917504 | 28357196 | 4 | 124 | FAIL (124b) (worst) |
| BabyBear | 31 | 2^20 | 1/8 | 917504 | 4 | 458751 | 367001 | 1101004 | 34028610 | 6 | 185 | OK (185b) (worst) |
| BabyBear | 31 | 2^20 | 1/8 | 917504 | 6 | 305834 | 262143 | 1310720 | 40510280 | 10 | 309 | OK (309b) (worst) |
| BabyBear | 31 | 2^20 | 1/8 | 917504 | 9 | 203889 | 183500 | 1468006 | 45371501 | 16 | 495 | OK (495b) (worst) |
| BabyBear | 31 | 2^21 | 1/2 | 1048576 | 3 | 699050 | 524287 | 1048576 | 32408224 | 4 | 124 | FAIL (124b) (worst) |
| BabyBear | 31 | 2^21 | 1/2 | 1048576 | 4 | 524287 | 419430 | 1258290 | 38889831 | 6 | 185 | OK (185b) (worst) |
| BabyBear | 31 | 2^21 | 1/2 | 1048576 | 6 | 349525 | 299593 | 1497964 | 46297409 | 10 | 309 | OK (309b) (worst) |
| BabyBear | 31 | 2^21 | 1/2 | 1048576 | 9 | 233016 | 209715 | 1677720 | 51853108 | 16 | 495 | OK (495b) (worst) |
| BabyBear | 31 | 2^21 | 1/4 | 1572864 | 3 | 1048575 | 786431 | 1572864 | 48612336 | 4 | 124 | FAIL (124b) (worst) |
| BabyBear | 31 | 2^21 | 1/4 | 1572864 | 4 | 786431 | 629145 | 1887436 | 58334778 | 6 | 185 | OK (185b) (worst) |
| BabyBear | 31 | 2^21 | 1/4 | 1572864 | 6 | 524287 | 449389 | 2246948 | 69446176 | 10 | 309 | OK (309b) (worst) |
| BabyBear | 31 | 2^21 | 1/4 | 1572864 | 9 | 349525 | 314572 | 2516582 | 77779725 | 16 | 495 | OK (495b) (worst) |
| BabyBear | 31 | 2^21 | 1/8 | 1835008 | 3 | 1223338 | 917503 | 1835008 | 56714391 | 4 | 124 | FAIL (124b) (worst) |
| BabyBear | 31 | 2^21 | 1/8 | 1835008 | 4 | 917503 | 734003 | 2202008 | 68057220 | 6 | 185 | OK (185b) (worst) |
| BabyBear | 31 | 2^21 | 1/8 | 1835008 | 6 | 611669 | 524287 | 2621440 | 81020559 | 10 | 309 | OK (309b) (worst) |
| BabyBear | 31 | 2^21 | 1/8 | 1835008 | 9 | 407779 | 367001 | 2936012 | 90743002 | 16 | 495 | OK (495b) (worst) |
| BabyBear-ext4 | 124 | 2^10 | 1/2 | 512 | 3 | 341 | 255 | 512 | 63297 | 4 | 495 | OK (495b) (worst) |
| BabyBear-ext4 | 124 | 2^10 | 1/2 | 512 | 4 | 255 | 204 | 614 | 75907 | 6 | 742 | OK (742b) (worst) |
| BabyBear-ext4 | 124 | 2^10 | 1/2 | 512 | 6 | 170 | 146 | 730 | 90248 | 10 | 1236 | OK (1236b) (worst) |
| BabyBear-ext4 | 124 | 2^10 | 1/2 | 512 | 9 | 113 | 102 | 818 | 101127 | 16 | 1978 | OK (1978b) (worst) |
| BabyBear-ext4 | 124 | 2^10 | 1/4 | 768 | 3 | 511 | 383 | 768 | 94946 | 4 | 495 | OK (495b) (worst) |
| BabyBear-ext4 | 124 | 2^10 | 1/4 | 768 | 4 | 383 | 307 | 920 | 113737 | 6 | 742 | OK (742b) (worst) |
| BabyBear-ext4 | 124 | 2^10 | 1/4 | 768 | 6 | 255 | 219 | 1096 | 135496 | 10 | 1236 | OK (1236b) (worst) |
| BabyBear-ext4 | 124 | 2^10 | 1/4 | 768 | 9 | 170 | 153 | 1228 | 151815 | 16 | 1978 | OK (1978b) (worst) |
| BabyBear-ext4 | 124 | 2^10 | 1/8 | 896 | 3 | 597 | 447 | 896 | 110770 | 4 | 495 | OK (495b) (worst) |
| BabyBear-ext4 | 124 | 2^10 | 1/8 | 896 | 4 | 447 | 358 | 1074 | 132776 | 6 | 742 | OK (742b) (worst) |
| BabyBear-ext4 | 124 | 2^10 | 1/8 | 896 | 6 | 298 | 255 | 1280 | 158243 | 10 | 1236 | OK (1236b) (worst) |
| BabyBear-ext4 | 124 | 2^10 | 1/8 | 896 | 9 | 199 | 179 | 1432 | 177035 | 16 | 1978 | OK (1978b) (worst) |
| BabyBear-ext4 | 124 | 2^12 | 1/2 | 2048 | 3 | 1365 | 1023 | 2048 | 253189 | 4 | 495 | OK (495b) (worst) |
| BabyBear-ext4 | 124 | 2^12 | 1/2 | 2048 | 4 | 1023 | 819 | 2456 | 303629 | 6 | 742 | OK (742b) (worst) |
| BabyBear-ext4 | 124 | 2^12 | 1/2 | 2048 | 6 | 682 | 585 | 2924 | 361487 | 10 | 1236 | OK (1236b) (worst) |
| BabyBear-ext4 | 124 | 2^12 | 1/2 | 2048 | 9 | 455 | 409 | 3276 | 405004 | 16 | 1978 | OK (1978b) (worst) |
| BabyBear-ext4 | 124 | 2^12 | 1/4 | 3072 | 3 | 2047 | 1535 | 3072 | 379784 | 4 | 495 | OK (495b) (worst) |
| BabyBear-ext4 | 124 | 2^12 | 1/4 | 3072 | 4 | 1535 | 1228 | 3686 | 455691 | 6 | 742 | OK (742b) (worst) |
| BabyBear-ext4 | 124 | 2^12 | 1/4 | 3072 | 6 | 1023 | 877 | 4388 | 542478 | 10 | 1236 | OK (1236b) (worst) |
| BabyBear-ext4 | 124 | 2^12 | 1/4 | 3072 | 9 | 682 | 614 | 4914 | 607506 | 16 | 1978 | OK (1978b) (worst) |
| BabyBear-ext4 | 124 | 2^12 | 1/8 | 3584 | 3 | 2389 | 1791 | 3584 | 443081 | 4 | 495 | OK (495b) (worst) |
| BabyBear-ext4 | 124 | 2^12 | 1/8 | 3584 | 4 | 1791 | 1433 | 4300 | 531599 | 6 | 742 | OK (742b) (worst) |
| BabyBear-ext4 | 124 | 2^12 | 1/8 | 3584 | 6 | 1194 | 1023 | 5120 | 632973 | 10 | 1236 | OK (1236b) (worst) |
| BabyBear-ext4 | 124 | 2^12 | 1/8 | 3584 | 9 | 796 | 716 | 5734 | 708880 | 16 | 1978 | OK (1978b) (worst) |
| BabyBear-ext4 | 124 | 2^14 | 1/2 | 8192 | 3 | 5461 | 4095 | 8192 | 1012757 | 4 | 495 | OK (495b) (worst) |
| BabyBear-ext4 | 124 | 2^14 | 1/2 | 8192 | 4 | 4095 | 3276 | 9830 | 1215259 | 6 | 742 | OK (742b) (worst) |
| BabyBear-ext4 | 124 | 2^14 | 1/2 | 8192 | 6 | 2730 | 2340 | 11702 | 1446690 | 10 | 1236 | OK (1236b) (worst) |
| BabyBear-ext4 | 124 | 2^14 | 1/2 | 8192 | 9 | 1820 | 1638 | 13106 | 1620263 | 16 | 1978 | OK (1978b) (worst) |
| BabyBear-ext4 | 124 | 2^14 | 1/4 | 12288 | 3 | 8191 | 6143 | 12288 | 1519135 | 4 | 495 | OK (495b) (worst) |
| BabyBear-ext4 | 124 | 2^14 | 1/4 | 12288 | 4 | 6143 | 4915 | 14744 | 1822765 | 6 | 742 | OK (742b) (worst) |
| BabyBear-ext4 | 124 | 2^14 | 1/4 | 12288 | 6 | 4095 | 3510 | 17554 | 2170158 | 10 | 1236 | OK (1236b) (worst) |
| BabyBear-ext4 | 124 | 2^14 | 1/4 | 12288 | 9 | 2730 | 2457 | 19660 | 2430518 | 16 | 1978 | OK (1978b) (worst) |
| BabyBear-ext4 | 124 | 2^14 | 1/8 | 14336 | 3 | 9557 | 7167 | 14336 | 1772325 | 4 | 495 | OK (495b) (worst) |
| BabyBear-ext4 | 124 | 2^14 | 1/8 | 14336 | 4 | 7167 | 5734 | 17202 | 2126641 | 6 | 742 | OK (742b) (worst) |
| BabyBear-ext4 | 124 | 2^14 | 1/8 | 14336 | 6 | 4778 | 4095 | 20480 | 2531892 | 10 | 1236 | OK (1236b) (worst) |
| BabyBear-ext4 | 124 | 2^14 | 1/8 | 14336 | 9 | 3185 | 2867 | 22936 | 2835522 | 16 | 1978 | OK (1978b) (worst) |
| BabyBear-ext4 | 124 | 2^16 | 1/2 | 32768 | 3 | 21845 | 16383 | 32768 | 4051028 | 4 | 495 | OK (495b) (worst) |
| BabyBear-ext4 | 124 | 2^16 | 1/2 | 32768 | 4 | 16383 | 13107 | 39320 | 4861036 | 6 | 742 | OK (742b) (worst) |
| BabyBear-ext4 | 124 | 2^16 | 1/2 | 32768 | 6 | 10922 | 9362 | 46810 | 5787006 | 10 | 1236 | OK (1236b) (worst) |
| BabyBear-ext4 | 124 | 2^16 | 1/2 | 32768 | 9 | 7281 | 6553 | 52428 | 6481546 | 16 | 1978 | OK (1978b) (worst) |
| BabyBear-ext4 | 124 | 2^16 | 1/4 | 49152 | 3 | 32767 | 24575 | 49152 | 6076542 | 4 | 495 | OK (495b) (worst) |
| BabyBear-ext4 | 124 | 2^16 | 1/4 | 49152 | 4 | 24575 | 19660 | 58982 | 7291801 | 6 | 742 | OK (742b) (worst) |
| BabyBear-ext4 | 124 | 2^16 | 1/4 | 49152 | 6 | 16383 | 14043 | 70216 | 8680633 | 10 | 1236 | OK (1236b) (worst) |
| BabyBear-ext4 | 124 | 2^16 | 1/4 | 49152 | 9 | 10922 | 9830 | 78642 | 9722319 | 16 | 1978 | OK (1978b) (worst) |
| BabyBear-ext4 | 124 | 2^16 | 1/8 | 57344 | 3 | 38229 | 28671 | 57344 | 7089299 | 4 | 495 | OK (495b) (worst) |
| BabyBear-ext4 | 124 | 2^16 | 1/8 | 57344 | 4 | 28671 | 22937 | 68812 | 8507060 | 6 | 742 | OK (742b) (worst) |
| BabyBear-ext4 | 124 | 2^16 | 1/8 | 57344 | 6 | 19114 | 16383 | 81920 | 10127570 | 10 | 1236 | OK (1236b) (worst) |
| BabyBear-ext4 | 124 | 2^16 | 1/8 | 57344 | 9 | 12743 | 11468 | 91750 | 11342829 | 16 | 1978 | OK (1978b) (worst) |
| BabyBear-ext4 | 124 | 2^18 | 1/2 | 131072 | 3 | 87381 | 65535 | 131072 | 16204112 | 4 | 495 | OK (495b) (worst) |
| BabyBear-ext4 | 124 | 2^18 | 1/2 | 131072 | 4 | 65535 | 52428 | 157286 | 19444885 | 6 | 742 | OK (742b) (worst) |
| BabyBear-ext4 | 124 | 2^18 | 1/2 | 131072 | 6 | 43690 | 37449 | 187244 | 23148519 | 10 | 1236 | OK (1236b) (worst) |
| BabyBear-ext4 | 124 | 2^18 | 1/2 | 131072 | 9 | 29127 | 26214 | 209714 | 25926431 | 16 | 1978 | OK (1978b) (worst) |
| BabyBear-ext4 | 124 | 2^18 | 1/4 | 196608 | 3 | 131071 | 98303 | 196608 | 24306168 | 4 | 495 | OK (495b) (worst) |
| BabyBear-ext4 | 124 | 2^18 | 1/4 | 196608 | 4 | 98303 | 78643 | 235928 | 29167204 | 6 | 742 | OK (742b) (worst) |
| BabyBear-ext4 | 124 | 2^18 | 1/4 | 196608 | 6 | 65535 | 56173 | 280868 | 34723026 | 10 | 1236 | OK (1236b) (worst) |
| BabyBear-ext4 | 124 | 2^18 | 1/4 | 196608 | 9 | 43690 | 39321 | 314572 | 38889770 | 16 | 1978 | OK (1978b) (worst) |
| BabyBear-ext4 | 124 | 2^18 | 1/8 | 229376 | 3 | 152917 | 114687 | 229376 | 28357196 | 4 | 495 | OK (495b) (worst) |
| BabyBear-ext4 | 124 | 2^18 | 1/8 | 229376 | 4 | 114687 | 91750 | 275250 | 34028487 | 6 | 742 | OK (742b) (worst) |
| BabyBear-ext4 | 124 | 2^18 | 1/8 | 229376 | 6 | 76458 | 65535 | 327680 | 40510280 | 10 | 1236 | OK (1236b) (worst) |
| BabyBear-ext4 | 124 | 2^18 | 1/8 | 229376 | 9 | 50972 | 45875 | 367000 | 45371315 | 16 | 1978 | OK (1978b) (worst) |
| BabyBear-ext4 | 124 | 2^20 | 1/2 | 524288 | 3 | 349525 | 262143 | 524288 | 64816447 | 4 | 495 | OK (495b) (worst) |
| BabyBear-ext4 | 124 | 2^20 | 1/2 | 524288 | 4 | 262143 | 209715 | 629144 | 77779539 | 6 | 742 | OK (742b) (worst) |
| BabyBear-ext4 | 124 | 2^20 | 1/2 | 524288 | 6 | 174762 | 149796 | 748982 | 92594819 | 10 | 1236 | OK (1236b) (worst) |
| BabyBear-ext4 | 124 | 2^20 | 1/2 | 524288 | 9 | 116508 | 104857 | 838860 | 103706217 | 16 | 1978 | OK (1978b) (worst) |
| BabyBear-ext4 | 124 | 2^20 | 1/4 | 786432 | 3 | 524287 | 393215 | 786432 | 97224671 | 4 | 495 | OK (495b) (worst) |
| BabyBear-ext4 | 124 | 2^20 | 1/4 | 786432 | 4 | 393215 | 314572 | 943718 | 116669556 | 6 | 742 | OK (742b) (worst) |
| BabyBear-ext4 | 124 | 2^20 | 1/4 | 786432 | 6 | 262143 | 224694 | 1123474 | 138892352 | 10 | 1236 | OK (1236b) (worst) |
| BabyBear-ext4 | 124 | 2^20 | 1/4 | 786432 | 9 | 174762 | 157286 | 1258290 | 155559325 | 16 | 1978 | OK (1978b) (worst) |
| BabyBear-ext4 | 124 | 2^20 | 1/8 | 917504 | 3 | 611669 | 458751 | 917504 | 113428783 | 4 | 495 | OK (495b) (worst) |
| BabyBear-ext4 | 124 | 2^20 | 1/8 | 917504 | 4 | 458751 | 367001 | 1101004 | 136114441 | 6 | 742 | OK (742b) (worst) |
| BabyBear-ext4 | 124 | 2^20 | 1/8 | 917504 | 6 | 305834 | 262143 | 1310720 | 162041119 | 10 | 1236 | OK (1236b) (worst) |
| BabyBear-ext4 | 124 | 2^20 | 1/8 | 917504 | 9 | 203889 | 183500 | 1468006 | 181486003 | 16 | 1978 | OK (1978b) (worst) |
| BabyBear-ext4 | 124 | 2^21 | 1/2 | 1048576 | 3 | 699050 | 524287 | 1048576 | 129632895 | 4 | 495 | OK (495b) (worst) |
| BabyBear-ext4 | 124 | 2^21 | 1/2 | 1048576 | 4 | 524287 | 419430 | 1258290 | 155559325 | 6 | 742 | OK (742b) (worst) |
| BabyBear-ext4 | 124 | 2^21 | 1/2 | 1048576 | 6 | 349525 | 299593 | 1497964 | 185189638 | 10 | 1236 | OK (1236b) (worst) |
| BabyBear-ext4 | 124 | 2^21 | 1/2 | 1048576 | 9 | 233016 | 209715 | 1677720 | 207412434 | 16 | 1978 | OK (1978b) (worst) |
| BabyBear-ext4 | 124 | 2^21 | 1/4 | 1572864 | 3 | 1048575 | 786431 | 1572864 | 194449342 | 4 | 495 | OK (495b) (worst) |
| BabyBear-ext4 | 124 | 2^21 | 1/4 | 1572864 | 4 | 786431 | 629145 | 1887436 | 233339112 | 6 | 742 | OK (742b) (worst) |
| BabyBear-ext4 | 124 | 2^21 | 1/4 | 1572864 | 6 | 524287 | 449389 | 2246948 | 277784704 | 10 | 1236 | OK (1236b) (worst) |
| BabyBear-ext4 | 124 | 2^21 | 1/4 | 1572864 | 9 | 349525 | 314572 | 2516582 | 311118898 | 16 | 1978 | OK (1978b) (worst) |
| BabyBear-ext4 | 124 | 2^21 | 1/8 | 1835008 | 3 | 1223338 | 917503 | 1835008 | 226857566 | 4 | 495 | OK (495b) (worst) |
| BabyBear-ext4 | 124 | 2^21 | 1/8 | 1835008 | 4 | 917503 | 734003 | 2202008 | 272228881 | 6 | 742 | OK (742b) (worst) |
| BabyBear-ext4 | 124 | 2^21 | 1/8 | 1835008 | 6 | 611669 | 524287 | 2621440 | 324082237 | 10 | 1236 | OK (1236b) (worst) |
| BabyBear-ext4 | 124 | 2^21 | 1/8 | 1835008 | 9 | 407779 | 367001 | 2936012 | 362972007 | 16 | 1978 | OK (1978b) (worst) |
| Mersenne31 | 31 | 2^10 | 1/2 | 512 | 3 | 341 | 255 | 512 | 15872 | 4 | 124 | FAIL (124b) (worst) |
| Mersenne31 | 31 | 2^10 | 1/2 | 512 | 4 | 255 | 204 | 614 | 19034 | 6 | 186 | OK (186b) (worst) |
| Mersenne31 | 31 | 2^10 | 1/2 | 512 | 6 | 170 | 146 | 730 | 22630 | 10 | 310 | OK (310b) (worst) |
| Mersenne31 | 31 | 2^10 | 1/2 | 512 | 9 | 113 | 102 | 818 | 25358 | 16 | 496 | OK (496b) (worst) |
| Mersenne31 | 31 | 2^10 | 1/4 | 768 | 3 | 511 | 383 | 768 | 23808 | 4 | 124 | FAIL (124b) (worst) |
| Mersenne31 | 31 | 2^10 | 1/4 | 768 | 4 | 383 | 307 | 920 | 28520 | 6 | 186 | OK (186b) (worst) |
| Mersenne31 | 31 | 2^10 | 1/4 | 768 | 6 | 255 | 219 | 1096 | 33976 | 10 | 310 | OK (310b) (worst) |
| Mersenne31 | 31 | 2^10 | 1/4 | 768 | 9 | 170 | 153 | 1228 | 38068 | 16 | 496 | OK (496b) (worst) |
| Mersenne31 | 31 | 2^10 | 1/8 | 896 | 3 | 597 | 447 | 896 | 27776 | 4 | 124 | FAIL (124b) (worst) |
| Mersenne31 | 31 | 2^10 | 1/8 | 896 | 4 | 447 | 358 | 1074 | 33294 | 6 | 186 | OK (186b) (worst) |
| Mersenne31 | 31 | 2^10 | 1/8 | 896 | 6 | 298 | 255 | 1280 | 39680 | 10 | 310 | OK (310b) (worst) |
| Mersenne31 | 31 | 2^10 | 1/8 | 896 | 9 | 199 | 179 | 1432 | 44392 | 16 | 496 | OK (496b) (worst) |
| Mersenne31 | 31 | 2^12 | 1/2 | 2048 | 3 | 1365 | 1023 | 2048 | 63488 | 4 | 124 | FAIL (124b) (worst) |
| Mersenne31 | 31 | 2^12 | 1/2 | 2048 | 4 | 1023 | 819 | 2456 | 76136 | 6 | 186 | OK (186b) (worst) |
