# Berlekamp #322 deployment ε table (target 128-bit)

Two codim conjectures:
  - codim_opt = 2(D - w'_min - 1)  [Note 0114, distinct-extras case]
  - codim_worst = 2(c - 1)         [Note 0116, shared-extras worst case]
ε bits = codim · log2(|F|), poly factor ignored.

| field | F_b | n_log | ρ | D | c | T | w'_min | codim_opt | ε_opt | codim_w | ε_worst | verdict |
| KoalaBear | 31 | 2^16 | 1/4 | 49152 | 4 | 24575 | 19660 | 58982 | 1827775 | 6 | 186 | OK (186b) (worst) |
| KoalaBear | 31 | 2^16 | 1/4 | 49152 | 6 | 16383 | 14043 | 70216 | 2175901 | 10 | 310 | OK (310b) (worst) |
| KoalaBear | 31 | 2^16 | 1/4 | 49152 | 9 | 10922 | 9830 | 78642 | 2437012 | 16 | 496 | OK (496b) (worst) |
| KoalaBear | 31 | 2^16 | 1/8 | 57344 | 3 | 38229 | 28671 | 57344 | 1777015 | 4 | 124 | FAIL (124b) (worst) |
| KoalaBear | 31 | 2^16 | 1/8 | 57344 | 4 | 28671 | 22937 | 68812 | 2132393 | 6 | 186 | OK (186b) (worst) |
| KoalaBear | 31 | 2^16 | 1/8 | 57344 | 6 | 19114 | 16383 | 81920 | 2538593 | 10 | 310 | OK (310b) (worst) |
| KoalaBear | 31 | 2^16 | 1/8 | 57344 | 9 | 12743 | 11468 | 91750 | 2843212 | 16 | 496 | OK (496b) (worst) |
| KoalaBear | 31 | 2^18 | 1/2 | 131072 | 3 | 87381 | 65535 | 131072 | 4061749 | 4 | 124 | FAIL (124b) (worst) |
| KoalaBear | 31 | 2^18 | 1/2 | 131072 | 4 | 65535 | 52428 | 157286 | 4874086 | 6 | 186 | OK (186b) (worst) |
| KoalaBear | 31 | 2^18 | 1/2 | 131072 | 6 | 43690 | 37449 | 187244 | 5802445 | 10 | 310 | OK (310b) (worst) |
| KoalaBear | 31 | 2^18 | 1/2 | 131072 | 9 | 29127 | 26214 | 209714 | 6498761 | 16 | 496 | OK (496b) (worst) |
| KoalaBear | 31 | 2^18 | 1/4 | 196608 | 3 | 131071 | 98303 | 196608 | 6092623 | 4 | 124 | FAIL (124b) (worst) |
| KoalaBear | 31 | 2^18 | 1/4 | 196608 | 4 | 98303 | 78643 | 235928 | 7311098 | 6 | 186 | OK (186b) (worst) |
| KoalaBear | 31 | 2^18 | 1/4 | 196608 | 6 | 65535 | 56173 | 280868 | 8703730 | 10 | 310 | OK (310b) (worst) |
| KoalaBear | 31 | 2^18 | 1/4 | 196608 | 9 | 43690 | 39321 | 314572 | 9748173 | 16 | 496 | OK (496b) (worst) |
| KoalaBear | 31 | 2^18 | 1/8 | 229376 | 3 | 152917 | 114687 | 229376 | 7108061 | 4 | 124 | FAIL (124b) (worst) |
| KoalaBear | 31 | 2^18 | 1/8 | 229376 | 4 | 114687 | 91750 | 275250 | 8529635 | 6 | 186 | OK (186b) (worst) |
| KoalaBear | 31 | 2^18 | 1/8 | 229376 | 6 | 76458 | 65535 | 327680 | 10154372 | 10 | 310 | OK (310b) (worst) |
| KoalaBear | 31 | 2^18 | 1/8 | 229376 | 9 | 50972 | 45875 | 367000 | 11372847 | 16 | 496 | OK (496b) (worst) |
| KoalaBear | 31 | 2^20 | 1/2 | 524288 | 3 | 349525 | 262143 | 524288 | 16246996 | 4 | 124 | FAIL (124b) (worst) |
| KoalaBear | 31 | 2^20 | 1/2 | 524288 | 4 | 262143 | 209715 | 629144 | 19496345 | 6 | 186 | OK (186b) (worst) |
| KoalaBear | 31 | 2^20 | 1/2 | 524288 | 6 | 174762 | 149796 | 748982 | 23209967 | 10 | 310 | OK (310b) (worst) |
| KoalaBear | 31 | 2^20 | 1/2 | 524288 | 9 | 116508 | 104857 | 838860 | 25995168 | 16 | 496 | OK (496b) (worst) |
| KoalaBear | 31 | 2^20 | 1/4 | 786432 | 3 | 524287 | 393215 | 786432 | 24370493 | 4 | 124 | FAIL (124b) (worst) |
| KoalaBear | 31 | 2^20 | 1/4 | 786432 | 4 | 393215 | 314572 | 943718 | 29244580 | 6 | 186 | OK (186b) (worst) |
| KoalaBear | 31 | 2^20 | 1/4 | 786432 | 6 | 262143 | 224694 | 1123474 | 34814982 | 10 | 310 | OK (310b) (worst) |
| KoalaBear | 31 | 2^20 | 1/4 | 786432 | 9 | 174762 | 157286 | 1258290 | 38992752 | 16 | 496 | OK (496b) (worst) |
| KoalaBear | 31 | 2^20 | 1/8 | 917504 | 3 | 611669 | 458751 | 917504 | 28432242 | 4 | 124 | FAIL (124b) (worst) |
| KoalaBear | 31 | 2^20 | 1/8 | 917504 | 4 | 458751 | 367001 | 1101004 | 34118666 | 6 | 186 | OK (186b) (worst) |
| KoalaBear | 31 | 2^20 | 1/8 | 917504 | 6 | 305834 | 262143 | 1310720 | 40617489 | 10 | 310 | OK (310b) (worst) |
| KoalaBear | 31 | 2^20 | 1/8 | 917504 | 9 | 203889 | 183500 | 1468006 | 45491575 | 16 | 496 | OK (496b) (worst) |
