============================================================
=== n = 8, k = 2, deployment scale ===
============================================================
  (a= 3, b=10) gcd=1 orb=16 | 0.1s | Φ = last G is in p_j only (degenerate)
  (a= 3, b=11) gcd=8 orb= 2 | 5.1s | Φ = last G is in p_j only (degenerate)
  (a= 3, b=12) gcd=1 orb=16 | 0.1s | Φ = 1
  (a= 3, b=13) gcd=2 orb= 8 | 0.2s | Φ = 1
  (a= 3, b=14) gcd=1 orb=16 | 0.2s | Φ = 1
  (a= 3, b=15) gcd=4 orb= 4 | 0.2s | Φ = 1
  (a= 4, b= 5) gcd=1 orb=16 | 0.1s | Φ = 1
  (a= 4, b= 6) gcd=2 orb= 8 | 0.1s | Φ = 1
  (a= 4, b= 7) gcd=1 orb=16 | 0.1s | Φ = 1
  (a= 4, b= 8) gcd=4 orb= 4 | 0.1s | Φ = rho*(rho**2 - 2*rho + 2)*(rho**2 + 2*rho + 2)
  (a= 4, b= 9) gcd=1 orb=16 | 0.1s | Φ = rho
  (a= 4, b=10) gcd=2 orb= 8 | 30.0s | Φ = GB TIMEOUT (30s)
  (a= 4, b=11) gcd=1 orb=16 | 30.0s | Φ = GB TIMEOUT (30s)
  (a= 4, b=12) gcd=8 orb= 2 | 1.0s | Φ = (rho - 1)*(rho + 1)*(rho**2 + 1)
  (a= 4, b=13) gcd=1 orb=16 | 0.2s | Φ = 1
  (a= 4, b=14) gcd=2 orb= 8 | 0.2s | Φ = 1
  (a= 4, b=15) gcd=1 orb=16 | 0.2s | Φ = 1
  (a= 5, b= 6) gcd=1 orb=16 | 0.1s | Φ = 1
  (a= 5, b= 7) gcd=2 orb= 8 | 0.1s | Φ = 1
  (a= 5, b= 8) gcd=1 orb=16 | 0.1s | Φ = rho
  (a= 5, b= 9) gcd=4 orb= 4 | 0.1s | Φ = rho*(rho**2 - 2*rho + 2)*(rho**2 + 2*rho + 2)
  (a= 5, b=10) gcd=1 orb=16 | 30.0s | Φ = GB TIMEOUT (30s)
  (a= 5, b=11) gcd=2 orb= 8 | 30.0s | Φ = GB TIMEOUT (30s)
  (a= 5, b=12) gcd=1 orb=16 | 30.0s | Φ = GB TIMEOUT (30s)
  (a= 5, b=13) gcd=8 orb= 2 | 30.1s | Φ = GB TIMEOUT (30s)
  (a= 5, b=14) gcd=1 orb=16 | 30.1s | Φ = GB TIMEOUT (30s)
  (a= 5, b=15) gcd=2 orb= 8 | 0.2s | Φ = 1
  (a= 6, b= 7) gcd=1 orb=16 | 0.1s | Φ = 1
  (a= 6, b= 8) gcd=2 orb= 8 | 0.1s | Φ = rho*(rho**2 - 2)*(rho**2 + 2)*(rho**2 - 2*rho + 2)*(rho**2 + 2*rho + 2)
  (a= 6, b= 9) gcd=1 orb=16 | 0.2s | Φ = rho
  (a= 6, b=10) gcd=4 orb= 4 | 30.0s | Φ = GB TIMEOUT (30s)
