# D3 NI 128-bit, KoalaBear-ext6 etc. — Berlekamp commit gain
OLD: commit ≤ n/|F| (BCIKS-generic, c-independent).
NEW: commit ≤ T/|F| + q^{-2(c-1)}·n (Note 0117/0119).  Δgain = log2(c).

| field | F_b | n_log | ρ | c | cap_old | cap_new | Δcap | t_old | t_new | KiB_old | KiB_new |
| Mersenne31 | 31 | 2^20 | 1/2 | 6 | -57.3 | -54.7 | +2.58 | — | — | — | — |
| Mersenne31 | 31 | 2^20 | 1/2 | 9 | -57.3 | -54.2 | +3.17 | — | — | — | — |
| Mersenne31 | 31 | 2^21 | 1/2 | 3 | -58.4 | -56.8 | +1.58 | — | — | — | — |
| Mersenne31 | 31 | 2^21 | 1/2 | 4 | -58.4 | -56.4 | +2.00 | — | — | — | — |
| Mersenne31 | 31 | 2^21 | 1/2 | 6 | -58.4 | -55.8 | +2.58 | — | — | — | — |
| Mersenne31 | 31 | 2^21 | 1/2 | 9 | -58.4 | -55.2 | +3.17 | — | — | — | — |
| Mersenne31-ext4 | 124 | 2^20 | 1/2 | 3 | 35.7 | 37.3 | +1.58 | — | — | — | — |
| Mersenne31-ext4 | 124 | 2^20 | 1/2 | 4 | 35.7 | 37.7 | +2.00 | — | — | — | — |
| Mersenne31-ext4 | 124 | 2^20 | 1/2 | 6 | 35.7 | 38.3 | +2.58 | — | — | — | — |
| Mersenne31-ext4 | 124 | 2^20 | 1/2 | 9 | 35.7 | 38.8 | +3.17 | — | — | — | — |
| Mersenne31-ext4 | 124 | 2^21 | 1/2 | 3 | 34.6 | 36.2 | +1.58 | — | — | — | — |
| Mersenne31-ext4 | 124 | 2^21 | 1/2 | 4 | 34.6 | 36.6 | +2.00 | — | — | — | — |
| Mersenne31-ext4 | 124 | 2^21 | 1/2 | 6 | 34.6 | 37.2 | +2.58 | — | — | — | — |
| Mersenne31-ext4 | 124 | 2^21 | 1/2 | 9 | 34.6 | 37.8 | +3.17 | — | — | — | — |
| Goldilocks | 64 | 2^20 | 1/2 | 3 | -24.3 | -22.7 | +1.58 | — | — | — | — |
| Goldilocks | 64 | 2^20 | 1/2 | 4 | -24.3 | -22.3 | +2.00 | — | — | — | — |
| Goldilocks | 64 | 2^20 | 1/2 | 6 | -24.3 | -21.7 | +2.58 | — | — | — | — |
| Goldilocks | 64 | 2^20 | 1/2 | 9 | -24.3 | -21.2 | +3.17 | — | — | — | — |
| Goldilocks | 64 | 2^21 | 1/2 | 3 | -25.4 | -23.8 | +1.58 | — | — | — | — |
| Goldilocks | 64 | 2^21 | 1/2 | 4 | -25.4 | -23.4 | +2.00 | — | — | — | — |
| Goldilocks | 64 | 2^21 | 1/2 | 6 | -25.4 | -22.8 | +2.58 | — | — | — | — |
| Goldilocks | 64 | 2^21 | 1/2 | 9 | -25.4 | -22.2 | +3.17 | — | — | — | — |
| Goldilocks-ext2 | 128 | 2^20 | 1/2 | 3 | 39.7 | 41.3 | +1.58 | — | — | — | — |
| Goldilocks-ext2 | 128 | 2^20 | 1/2 | 4 | 39.7 | 41.7 | +2.00 | — | — | — | — |
